name,slug,years,date_of_information,ranking,region
Afghanistan,afghanistan,20,2024,206,South Asia
Albania,albania,36.3,2024,91,Europe
Algeria,algeria,29.1,2024,146,Africa
American Samoa,american-samoa,30,2024,141,Australia and Oceania
Andorra,andorra,48.8,2024,4,Europe
Angola,angola,16.3,2024,227,Africa
Anguilla,anguilla,37.1,2024,83,Central America and the Caribbean
Antigua and Barbuda,antigua-and-barbuda,33.9,2024,109,Central America and the Caribbean
Argentina,argentina,33.3,2024,112,South America
Armenia,armenia,38.9,2024,70,Middle East
Aruba,aruba,40.9,2024,56,Central America and the Caribbean
Australia,australia,38.1,2024,77,Australia and Oceania
Austria,austria,44.9,2024,24,Europe
Azerbaijan,azerbaijan,34.3,2024,104,Middle East
"Bahamas, The",bahamas-the,30.7,2024,133,Central America and the Caribbean
Bahrain,bahrain,33.4,2024,111,Middle East
Bangladesh,bangladesh,29.6,2024,144,South Asia
Barbados,barbados,41.4,2024,50,Central America and the Caribbean
Belarus,belarus,42.1,2024,46,Europe
Belgium,belgium,42,2024,47,Europe
Belize,belize,26.8,2024,162,Central America and the Caribbean
Benin,benin,17.2,2024,223,Africa
Bermuda,bermuda,43.8,2024,34,North America
Bhutan,bhutan,30.7,2024,134,South Asia
Bolivia,bolivia,26.6,2024,163,South America
Bosnia and Herzegovina,bosnia-and-herzegovina,44.8,2024,28,Europe
Botswana,botswana,27.1,2024,161,Africa
Brazil,brazil,35.1,2024,101,South America
British Virgin Islands,british-virgin-islands,38.5,2024,74,Central America and the Caribbean
Brunei,brunei,32.3,2024,117,East and Southeast Asia
Bulgaria,bulgaria,45.1,2024,19,Europe
Burkina Faso,burkina-faso,18.7,2024,218,Africa
Burma,burma,30.8,2024,131,East and Southeast Asia
Burundi,burundi,18.4,2024,220,Africa
Cabo Verde,cabo-verde,28.8,2024,149,Africa
Cambodia,cambodia,27.9,2024,154,East and Southeast Asia
Cameroon,cameroon,18.9,2024,216,Africa
Canada,canada,42.6,2024,40,North America
Cayman Islands,cayman-islands,41.2,2024,51,Central America and the Caribbean
Central African Republic,central-african-republic,20.4,2024,202,Africa
Chad,chad,16.7,2024,225,Africa
Chile,chile,36.9,2024,85,South America
China,china,40.2,2024,61,East and Southeast Asia
Christmas Island,christmas-island,38,2021,78,Australia and Oceania
Cocos (Keeling) Islands,cocos-keeling-islands,40,2021,62,Australia and Oceania
Colombia,colombia,32.7,2024,114,South America
Comoros,comoros,22.7,2024,183,Africa
"Congo, Democratic Republic of the",congo-democratic-republic-of-the,16.9,2024,224,Africa
"Congo, Republic of the",congo-republic-of-the,20.7,2024,200,Africa
Cook Islands,cook-islands,41.1,2024,53,Australia and Oceania
Costa Rica,costa-rica,35.5,2024,96,Central America and the Caribbean
Cote d'Ivoire,cote-divoire,21.2,2024,195,Africa
Croatia,croatia,45.1,2024,20,Europe
Cuba,cuba,42.6,2024,42,Central America and the Caribbean
Curacao,curacao,37.8,2024,81,Central America and the Caribbean
Cyprus,cyprus,39.5,2024,67,Europe
Czechia,czechia,44.2,2024,31,Europe
Denmark,denmark,42.2,2024,45,Europe
Djibouti,djibouti,26.3,2024,164,Africa
Dominica,dominica,37,2024,84,Central America and the Caribbean
Dominican Republic,dominican-republic,29.2,2024,145,Central America and the Caribbean
Ecuador,ecuador,28,2024,153,South America
Egypt,egypt,24.4,2024,177,Africa
El Salvador,el-salvador,29.7,2024,143,Central America and the Caribbean
Equatorial Guinea,equatorial-guinea,22.1,2024,186,Africa
Eritrea,eritrea,21.3,2024,192,Africa
Estonia,estonia,45,2024,22,Europe
Eswatini,eswatini,24.6,2024,175,Africa
Ethiopia,ethiopia,20.4,2024,203,Africa
Faroe Islands,faroe-islands,36.8,2024,86,Europe
Fiji,fiji,31.6,2024,124,Australia and Oceania
Finland,finland,43.3,2024,36,Europe
France,france,42.6,2024,41,Europe
